city_label,city_context,broad_context,mechanism_type,story_group,paper_role,reliability_flag,ready_pct,hi_only_pct,lst_only_pct,both_pct,hi_minus_lst_hotspot_pct,priority_pct,lst_hi_corr
San Francisco,Coastal / compact / bay-influenced,Coastal / water-influenced,Strong HI-dominant,Strong apparent-heat shift,Key apparent-heat case,Use cautiously: lower data readiness,72.3076923076923,53.191489361702125,0.0,26.595744680851062,53.191489361702125,53.72340425531915,0.2762610770023599
Miami,Coastal / humid,Coastal / water-influenced,Strong HI-dominant,Strong apparent-heat shift,Key apparent-heat case,High completeness,96.89922480620154,52.0,2.4,23.200000000000003,49.6,52.0,0.2137873660556167
Boston,Coastal / temperate,Coastal / water-influenced,Strong HI-dominant,Strong apparent-heat shift,Key apparent-heat case,Moderate completeness,92.27053140096618,47.64397905759162,11.518324607329845,13.612565445026178,36.12565445026178,47.64397905759162,0.0001509635897057
Atlanta,Inland / humid / sprawling Sun Belt,Inland Sun Belt,Moderate HI-dominant,Moderate apparent-heat shift,Intermediate apparent-heat case,High completeness,100.0,32.28699551569507,18.385650224215247,6.726457399103139,13.90134529147982,33.6322869955157,-0.268547625635977
Seattle,Coastal / Pacific Northwest / water-constrained,Coastal / water-influenced,Moderate HI-dominant,Moderate apparent-heat shift,Intermediate apparent-heat case,Moderate completeness,94.47236180904522,32.97872340425532,21.808510638297875,3.1914893617021276,11.170212765957444,38.297872340425535,-0.0637213215272988
Chicago,Great Lakes / large grid city,Great Lakes,Moderate HI-dominant,Moderate apparent-heat shift,Intermediate apparent-heat case,High completeness,100.0,17.545871559633028,6.536697247706422,18.46330275229358,11.009174311926609,28.55504587155963,0.631142924321808
Los Angeles,Coastal / dry,Coastal / water-influenced,Moderate HI-dominant,Moderate apparent-heat shift,Intermediate apparent-heat case,High completeness,97.47292418772562,25.925925925925924,17.77777777777778,7.222222222222221,8.148148148148145,32.407407407407405,0.3502317109155967
Dallas,Inland / large Sun Belt / car-oriented,Inland Sun Belt,Mixed / transitional,Mixed / transitional,Transition case,High completeness,100.0,18.70824053452116,12.694877505567929,12.47216035634744,6.013363028953231,29.398663697104677,0.1087414753143568
Phoenix,Inland / desert,Inland desert,Mixed / transitional,Mixed / transitional,Transition case,High completeness,100.0,18.373493975903617,14.156626506024098,10.843373493975903,4.216867469879515,31.92771084337349,0.2912812422021387
Houston,Coastal / humid,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,Transition case,High completeness,100.0,16.21129326047359,15.846994535519126,9.289617486338798,0.3642987249544624,28.051001821493628,0.3412754779438834
New York,Coastal / megacity / dense core,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,Transition case,Moderate completeness,88.28752642706131,19.54022988505747,19.20498084291188,5.795019157088123,0.3352490421455911,27.53831417624521,0.0533020407087778
Las Vegas,Inland / desert,Inland desert,Coupled LST-HI,Coupled / aligned,Coupled baseline case,High completeness,100.0,8.951965065502183,8.951965065502183,16.157205240174672,0.0,26.200873362445417,0.7502048289967429
