city_label,city_context,mechanism_type,ready_pct,lst_hi_corr,both_pct,hi_only_pct,lst_only_pct,priority_pct
Las Vegas,Inland / desert,Coupled LST-HI,100.0,0.7502048289967429,16.157205240174672,8.951965065502183,8.951965065502183,26.200873362445417
Chicago,Great Lakes / large grid city,Moderate HI-dominant,100.0,0.631142924321808,18.46330275229358,17.545871559633028,6.536697247706422,28.55504587155963
Los Angeles,Coastal / dry,Moderate HI-dominant,97.47292418772562,0.3502317109155967,7.222222222222221,25.925925925925924,17.77777777777778,32.407407407407405
Houston,Coastal / humid,Mixed / transitional,100.0,0.3412754779438834,9.289617486338798,16.21129326047359,15.846994535519126,28.051001821493628
Phoenix,Inland / desert,Mixed / transitional,100.0,0.2912812422021387,10.843373493975903,18.373493975903617,14.156626506024098,31.92771084337349
San Francisco,Coastal / compact / bay-influenced,Strong HI-dominant,72.3076923076923,0.2762610770023599,26.595744680851062,53.191489361702125,0.0,53.72340425531915
Miami,Coastal / humid,Strong HI-dominant,96.89922480620154,0.2137873660556167,23.200000000000003,52.0,2.4,52.0
Dallas,Inland / large Sun Belt / car-oriented,Mixed / transitional,100.0,0.1087414753143568,12.47216035634744,18.70824053452116,12.694877505567929,29.398663697104677
New York,Coastal / megacity / dense core,Mixed / transitional,88.28752642706131,0.0533020407087778,5.795019157088123,19.54022988505747,19.20498084291188,27.53831417624521
Boston,Coastal / temperate,Strong HI-dominant,92.27053140096618,0.0001509635897057,13.612565445026178,47.64397905759162,11.518324607329845,47.64397905759162
Seattle,Coastal / Pacific Northwest / water-constrained,Moderate HI-dominant,94.47236180904522,-0.0637213215272988,3.1914893617021276,32.97872340425532,21.808510638297875,38.297872340425535
Atlanta,Inland / humid / sprawling Sun Belt,Moderate HI-dominant,100.0,-0.268547625635977,6.726457399103139,32.28699551569507,18.385650224215247,33.6322869955157
